Ano,Regiao,UF,Municipio,PIB,Populacao,PIB_per_capita
2018,Nordeste,PE,Cabo de Santo Agostinho,9756949.0,205112.0,47568.88431686103
2018,Centro-Oeste,GO,Catalão,6592615.0,106618.0,61833.97737717834
2018,Sudeste,SP,Rio Claro,9799282.0,204797.0,47848.75755015943
2018,Sudeste,MG,Timóteo,3220960.0,89090.0,36154.00157144461
2018,Sudeste,SP,Pontal,1165429.0,49047.0,23761.473688502865
2018,Sudeste,ES,Linhares,6384081.0,170364.0,37473.18095372262
2018,Nordeste,CE,Fortaleza,66381302.0,2643247.0,25113.544818172497
2018,Nordeste,CE,Sobral,4759755.0,206644.0,23033.59884632508
2018,Sudeste,SP,José Bonifácio,1320864.0,36655.0,36035.0293275133
2018,Sudeste,MG,Delta,350136.0,10291.0,34023.51569332426
2018,Sudeste,SP,Amparo,4635338.0,71700.0,64649.065550906555
2018,Centro-Oeste,GO,Jataí,4968255.0,99674.0,49845.04484619861
2018,Sul,PR,Jacarezinho,1358246.0,39435.0,34442.65246608343
2018,Sudeste,MG,Ituiutaba,2777541.0,104067.0,26689.930525526823
2018,Sudeste,MG,Uberaba,14732211.0,330361.0,44594.2801965123
2018,Sudeste,SP,Itatiba,6050786.0,119090.0,50808.5145688135
2018,Sudeste,SP,Pompéia,1206901.0,21851.0,55233.21587112718
2018,Sudeste,SP,Salto,7290278.0,117561.0,62012.72530856321
2018,Norte,RO,Rolim de Moura,1291476.0,54702.0,23609.301305253917
2018,Nordeste,PE,Petrolina,6686069.0,343865.0,19443.87768455644
2018,Sudeste,SP,Americana,11340521.0,237112.0,47827.697459428455
2018,Sudeste,SP,Moji das Cruzes,15385841.0,440769.0,34906.81286569609
2018,Centro-Oeste,GO,Crixás,565608.0,16852.0,33563.25658675528
2018,Sudeste,SP,Valinhos,6287697.0,127123.0,49461.5215185293
2018,Sudeste,MG,Itatiaiuçu,1549118.0,11037.0,140356.79985503308
2018,Sul,RS,Pelotas,8852998.0,341648.0,25912.62937292184
2018,Sul,SC,Lages,5105747.0,157743.0,32367.502836892916
2018,Norte,AP,Pedra Branca do Amaparí,311022.0,15931.0,19523.06823174942
2018,Nordeste,MA,Açailândia,2598977.0,111757.0,23255.608149825068
2018,Sudeste,MG,Ipatinga,11439857.0,261344.0,43773.1763499449
2018,Sudeste,MG,Rio Piracicaba,561852.0,14346.0,39164.366373902136
2018,Sul,RS,Carlos Barbosa,2534374.0,29409.0,86176.81662076236
2018,Centro-Oeste,MT,Várzea Grande,8167611.0,282009.0,28962.23524781124
2018,Nordeste,BA,Jacobina,1385722.0,80394.0,17236.634574719505
2018,Nordeste,BA,Ilhéus,4259657.0,164844.0,25840.534080706606
2018,Sudeste,SP,Catanduva,4194723.0,121210.0,34607.07037373154
2018,Norte,PA,Belém,31479272.0,1485732.0,21187.718915659083
2018,Sul,PR,Palmas,1184147.0,50198.0,23589.52547910276
2018,Sul,PR,Foz do Iguaçu,14675747.0,258823.0,56701.865753816324
2018,Sul,SC,Imbituba,1776654.0,44412.0,40003.91786003783
2018,Sudeste,SP,Pradópolis,647784.0,21110.0,30686.120322122217
2018,Sudeste,SP,Sebastianópolis do Sul,242461.0,3470.0,69873.4870317003
2018,Centro-Oeste,MS,Dourados,8491169.0,220965.0,38427.66501482135
2018,Sudeste,SP,Mauá,15287804.0,468148.0,32655.92077719012
2018,Sudeste,SP,Cordeirópolis,2820935.0,24221.0,116466.496015854
2018,Sudeste,MG,Divinópolis,6476611.0,235977.0,27445.941765511045
2018,Sudeste,SP,Campo Limpo Paulista,2102640.0,83735.0,25110.646682988
2018,Norte,PA,Ananindeua,7522961.0,525566.0,14314.01764954354
2018,Sudeste,SP,Diadema,14672840.0,420934.0,34857.81618971145
2018,Norte,PA,Almeirim,591446.0,34142.0,17323.121082537637
2018,Sul,PR,Campo Largo,4332714.0,130091.0,33305.25555188292
2018,Centro-Oeste,MT,Campos de Júlio,1386685.0,6710.0,206659.46348733237
2018,Norte,RO,Vilhena,2720979.0,97448.0,27922.368853131928
2018,Sudeste,ES,Cachoeiro de Itapemirim,4837080.0,207324.0,23331.018116571166
2018,Nordeste,BA,Barreiras,4744841.0,153831.0,30844.504683711344
2018,Sul,RS,Canoas,19218794.0,344957.0,55713.59328843885
2018,Sudeste,SP,Ribeirão Preto,34323817.0,694534.0,49419.92328669295
2018,Centro-Oeste,MT,Tangará da Serra,3239502.0,101764.0,31833.477457647103
2018,Sul,PR,Rolândia,2657154.0,65757.0,40408.686527670056
2018,Sudeste,SP,São Caetano do Sul,13428453.0,160275.0,83783.82779597567
2018,Sudeste,RJ,Volta Redonda,13407989.0,271998.0,49294.43966499754
2018,Sudeste,SP,Cotia,12531256.0,244694.0,51211.94634931793
2018,Sudeste,SP,Andradina,1887475.0,57112.0,33048.6587757389
2018,Centro-Oeste,GO,Palmeiras de Goiás,900168.0,28313.0,31793.451771271146
2018,Sul,SC,São Bento do Sul,3198418.0,83576.0,38269.574997606964
2018,Centro-Oeste,MT,Barra do Garças,1954926.0,60661.0,32227.06516542754
2018,Sul,PR,Matelândia,915025.0,17775.0,51478.19971870605
2018,Sul,PR,Toledo,6159290.0,138572.0,44448.301244118586
2018,Nordeste,AL,Maceió,22397272.0,1012382.0,22123.340794285163
2018,Sudeste,MG,Manhuaçu,2098584.0,89256.0,23511.965582145735
2018,Sudeste,SP,Itu,7828785.0,172268.0,45445.38161469338
2018,Sudeste,SP,Luís Antônio,1451177.0,14592.0,99450.17817982456
2018,Sudeste,MG,Alfenas,2612263.0,79481.0,32866.50897698822
2018,Sudeste,MG,Conceição do Mato Dentro,733686.0,17641.0,41589.8191712488
2018,Sudeste,MG,Pirapora,2282691.0,56208.0,40611.49658411614
2018,Sudeste,SP,Bauru,14639474.0,374272.0,39114.531677496576
2018,Norte,PA,Oriximiná,1626475.0,72160.0,22539.84201773836
2018,Sul,PR,Engenheiro Beltrão,563794.0,14020.0,40213.55206847361
2018,Sudeste,MG,Patrocínio,2883802.0,90041.0,32027.654068702035
2018,Sul,PR,Campo Mourão,3913088.0,94212.0,41534.92124145544
2018,Sudeste,MG,Montes Claros,9467152.0,404804.0,23387.002104722284
2018,Sudeste,SP,Alumínio,2104874.0,18484.0,113875.45985717376
2018,Sudeste,SP,Itupeva,6687651.0,59649.0,112116.73288739123
2018,Nordeste,BA,Candeias,4365434.0,86677.0,50364.387323049945
2018,Centro-Oeste,MT,Campo Verde,2536929.0,42871.0,59175.87646660913
2018,Norte,PA,Ourilândia do Norte,610583.0,32319.0,18892.38528419815
2018,Sul,PR,Telêmaco Borba,3431675.0,78135.0,43919.8182632623
2018,Sudeste,SP,Leme,3204480.0,102412.0,31290.083193375773
2018,Sudeste,SP,Barretos,4857180.0,121344.0,40028.184335443046
2018,Norte,PA,Curionópolis,820132.0,18014.0,45527.47862773398
2018,Sudeste,MG,Jeceaba,1016472.0,4973.0,204398.1500100543
2018,Centro-Oeste,GO,Ouvidor,778855.0,6549.0,118927.31714765613
2018,Sudeste,SP,Guaratinguetá,5674703.0,121073.0,46870.09490142311
2018,Centro-Oeste,MS,Corumbá,3055892.0,110806.0,27578.759272963558
2018,Sudeste,MG,Poços de Caldas,7664455.0,166111.0,46140.562635827846
2018,Sudeste,SP,Guaíra,3197872.0,40533.0,78895.51723287198
2018,Sul,PR,Guarapuava,6115717.0,180334.0,33913.27758492575
2018,Nordeste,MA,Balsas,3493484.0,93826.0,37233.64525824398
2018,Sudeste,SP,Colina,1107790.0,18398.0,60212.523100337
2018,Sudeste,SP,São Carlos,11172895.0,249415.0,44796.403584387466
2018,Sudeste,SP,Bebedouro,3343965.0,77436.0,43183.59677669301
2018,Centro-Oeste,GO,Itumbiara,3924800.0,103652.0,37865.164203295644
2018,Sul,SC,Caçador,3298267.0,77863.0,42359.87567907736
2018,Sudeste,SP,Botucatu,4622545.0,144820.0,31919.244579477967
2018,Sul,RS,Montenegro,3740580.0,64788.0,57735.69179477681
2018,Sudeste,SP,Caieiras,3553464.0,100129.0,35488.85937141088
2018,Sul,PR,Palotina,2198288.0,31564.0,69645.41883158029
2018,Sul,PR,Cafelândia,1380463.0,17775.0,77663.17862165964
2018,Nordeste,BA,Eunápolis,2890442.0,112318.0,25734.45039975783
2018,Sudeste,SP,Vinhedo,9275194.0,77308.0,119977.15630982564
2018,Sudeste,SP,Promissão,1622496.0,40027.0,40535.038848777076
2018,Centro-Oeste,GO,Goiânia,49347603.0,1495705.0,32992.87158898312
2018,Sudeste,SP,Barueri,50562704.0,271306.0,186367.80609348853
2018,Sudeste,SP,Pederneiras,2082934.0,46251.0,45035.437071630884
2018,Sudeste,RJ,São João da Barra,7204709.0,36138.0,199366.56704853612
2018,Sudeste,MG,Sete Lagoas,8537314.0,237286.0,35979.00423960959
2018,Sudeste,SP,Mogi Guaçu,5923534.0,150713.0,39303.404484019295
2018,Centro-Oeste,MS,Campo Grande,29176930.0,885711.0,32941.81736480635
2018,Nordeste,BA,Maracás,844655.0,21295.0,39664.475228926975
